Flag,Catalog,specobjid,iauidentifier,feh,distance,Pal,DelPM,NNsep,PMtot,e_PMtot,FeH,Vtot,e_Vtot,Vesc,Infalling,Claim
2,J074801.28+181904.32,2335280291687458816,J074801.28+181904.32,-0.57,6.8041090965271,,7.64,11.61,31.22,5.13,-0.57,953.85,146.37,512.84,,pHVS
2,J074811.00+282130.39,3633388208001228800,J074811.00+282130.39,-0.71,6.341246128082275,,16.66,7.99,13.56,4.61,-0.71,630.38,114.25,515.09,X,pHVS
2,J074920.08+175147.75,3072655411824846848,J074920.08+175147.75,-0.59,5.549190998077393,,21.18,14.21,17.39,6.6,-0.59,705.93,135.81,521.67,,pHVS
2,J075209.71+273214.34,3633321962425655296,J075209.71+273214.34,-0.7,8.834563255310059,,0.7,5.62,20.08,5.14,-0.7,1133.74,176.79,499.44,,pHVS
2,J075627.42+274144.58,3633428615053549568,J075627.42+274144.58,-0.68,6.755337715148926,,3.43,4,12.86,5.71,-0.68,638.46,136.14,512.58,,pHVS
2,J080201.62+200637.31,3560217906635710464,J080201.62+200637.31,-0.75,6.787587642669678,,2.3,5.65,21.29,6.6,-0.75,925.51,172.23,513.22,,pHVS
2,J081210.06+001211.10,1293790984739514368,J081210.06+001211.10,-0.57,10.00313663482666,,7.63,8.93,8.76,5.85,-0.57,674.03,206.79,498,,pHVS
2,J081932.03+001947.36,2338656074124519424,J081932.03+001947.36,-0.69,6.2440385818481445,,23.69,1.16,20.1,4.49,-0.69,698.55,103.05,521.47,X,pHVS
2,J082249.67+461416.29,3573666308585267200,J082249.67+461416.29,-0.67,8.047001838684082,,13.09,6.26,15.31,4.64,-0.67,837.2,152.66,505.2,X,pHVS
2,J082324.46+160507.22,3636766456923922432,J082324.46+160507.22,-0.56,6.740633487701416,,28.24,5.06,10.77,4.48,-0.56,598.32,106.68,514.96,,pHVS
2,J082410.12+301833.52,3589375581134888960,J082410.12+301833.52,-0.68,6.152039051055908,,20.49,8.81,22.81,4.58,-0.68,878.22,114.81,517.53,,pHVS
2,J082456.26+323805.79,3582729308172558336,J082456.26+323805.79,-0.75,5.747745990753174,,21.62,3.43,21.24,4.2,-0.75,742.61,94,520.31,X,pHVS
2,J082622.27+132728.33,3597333846313508864,J082622.27+132728.33,-0.51,6.553239822387695,,25.87,7.02,23.5,3.82,-0.51,966.43,109.89,516.78,,pHVS
2,J082716.24-050251.01,3184125550234986496,J082716.24-050251.01,-0.62,8.956023216247559,,17.62,2.26,22.53,3.99,-0.62,941.63,158.41,506.31,X,pHVS
2,J082756.04+011028.70,1299446599017064448,J082756.04+011028.70,-0.64,11.419031143188477,,11.99,4.44,17.85,8.12,-0.64,972.73,342.5,490.94,X,pHVS
2,J082813.98-052143.88,3184126649746614272,J082813.98-052143.88,-0.51,7.0713605880737305,,20.16,1.77,13.18,3.79,-0.51,633.7,102.34,518.12,,pHVS
2,J084115.30+062000.96,3707720692066787328,J084115.30+062000.96,-0.49,3.9479129314422607,,30.32,12.42,31.98,3.78,-0.49,818.87,71.58,537.86,,pHVS
2,J084210.86+052305.58,3707631356747030528,J084210.86+052305.58,-0.7,5.585810661315918,,26.44,7.15,21.01,4.2,-0.7,649.04,98.01,525.95,,pHVS
2,J085149.94+181136.17,2566089777136822272,J085149.94+181136.17,-0.34,3.565014362335205,,5.76,5.18,77.5,3.45,-0.34,1236.33,102.05,539.41,,pHVS
2,J085508.04+031505.41,3279883668641835008,J085508.04+031505.41,-0.79,13.280559539794922,,3.44,8.34,6.97,5.85,-0.79,683.28,252.49,482.67,X,pHVS
2,J085545.13+021458.07,3251634466195531776,J085545.13+021458.07,-0.56,2.961613416671753,,8.66,4.97,61.73,4.05,-0.56,799.08,77.92,547.25,,pHVS
2,J090003.97+111858.98,2899236858875635712,J090003.97+111858.98,-0.43,6.64680814743042,,5.55,4.09,23.64,6.64,-0.43,673.69,170.45,518.4,X,pHVS
2,J090243.81+272032.84,2177495423957100544,J090243.81+272032.84,-0.16,3.13987135887146,,23.22,2.43,23.16,3.74,-0.16,578.4,46.66,542.48,,pHVS
2,J090534.10+405537.78,1351140680990222336,J090534.10+405537.78,-0.46,3.595848798751831,,22.48,1.81,18.66,3.94,-0.46,563.29,52.92,538.26,,pHVS
2,J092619.98+092919.75,3736927843968458752,J092619.98+092919.75,-0.46,7.597133159637451,,15.97,14.5,14.46,5.36,-0.46,718.88,163.8,514.41,X,pHVS
2,J092843.92+220642.44,2577328160362227712,J092843.92+220642.44,-0.67,3.8777387142181396,,3.25,4.91,68.53,4.95,-0.67,1338.61,113.62,538.3,X,pHVS
2,J093913.73+382905.11,3629940138798325760,J093913.73+382905.11,-0.59,4.096738815307617,,19.14,4.53,18.9,4.05,-0.59,589.52,62.1,535.8,,pHVS
2,J095629.99+454906.20,3595097989384871936,J095629.99+454906.20,-0.51,5.021881103515625,,6.03,12.43,66.85,11.68,-0.51,1839.31,232.81,529.52,X,pHVS
2,J095803.54-001725.30,3228019429493204992,J095803.54-001725.30,-0.64,4.050605297088623,*,7.01,14.35,61.57,7.26,-0.64,1300.81,132.62,543.6,X,pHVS
2,J100054.80+004357.35,3228102167743195136,J100054.80+004357.35,-0.53,7.920483589172363,,13.98,12.49,19.07,8.21,-0.53,865.6,228.83,517.69,X,pHVS
2,J101131.78+142840.00,3658207758634819584,J101131.78+142840.00,-0.59,3.363739013671875,,17.59,9.87,28.75,4.09,-0.59,649.77,58.46,546.2,,pHVS
2,J102707.26+281435.48,3671703989004640256,J102707.26+281435.48,-0.67,3.5774996280670166,,20.1,4.33,24.3,3.82,-0.67,634.29,58.42,543.49,,pHVS
2,J103026.65+080707.69,3230212130137466880,J103026.65+080707.69,-0.57,5.1318359375,,3.35,6.06,15.12,5.48,-0.57,591.3,103.39,536.54,,pHVS
2,J104613.69-002513.53,2712350670576445440,J104613.69-002513.53,-0.66,8.998760223388672,,14.97,11.42,18.83,5.81,-0.66,845.51,207.09,516.21,X,pHVS
2,J110404.21+021650.31,3651343233168023552,J110404.21+021650.31,0.27,7.547149181365967,,8.54,3.41,11.42,5.34,0.27,577.05,144.33,526.24,,pHVS
2,J112714.55-005301.33,3640151578868031488,J112714.55-005301.33,-0.01,6.257874965667725,,7.95,8.17,21.06,7.2,-0.01,635.29,167.48,538.58,,pHVS
2,J112847.51+653746.44,3743771479670628352,J112847.51+653746.44,-0.33,6.628460884094238,,7.22,7.07,11.23,5.17,-0.33,598.94,119.05,522.95,X,pHVS
2,J113237.93-072241.78,3238250112023029760,J113237.93-072241.78,-0.65,7.765783786773682,,13.26,12.62,15.65,5.85,-0.65,633.14,172.39,532.66,,pHVS
2,J124313.57+151414.82,3664915604281860096,J124313.57+151414.82,-0.35,8.568928718566895,,2.07,2.48,11.89,5.03,-0.35,738.65,159.74,528.47,,pHVS
2,J141834.05+501941.07,1176603381519640576,J141834.05+501941.07,-0.75,2.422126054763794,,6.79,22.58,46.92,6.14,-0.75,592.12,65.21,562.43,,pHVS
2,J145021.46+105714.46,3814638302699560960,J145021.46+105714.46,-0.42,9.19678783416748,,14.16,7.89,10.38,4.88,-0.42,666.27,161.97,550.65,X,pHVS
2,J160419.74+365623.57,3916019048239964160,J160419.74+365623.57,-0.36,2.5623159408569336,,3.62,10.74,57.5,7.27,-0.36,804.97,81.92,572.75,,pHVS
2,J172630.61+075544.10,3172861331472672768,J172630.61+075544.10,-0.67,3.4841468334198,,3.92,3.84,59.71,4.06,-0.67,991.56,100.06,598.74,X,pHVS
2,J173132.55+352937.44,3706634100069736448,J173132.55+352937.44,-0.54,4.905727386474609,,2.23,9.28,49.87,3.85,-0.54,1099.29,113.8,572.8,,pHVS
2,J173241.12+090358.50,3172944069722662912,J173241.12+090358.50,-0.73,4.940892219543457,,21.16,3.93,22.98,4.82,-0.73,863.01,107.17,603.49,X,pHVS
2,J173453.83+075628.50,3172793986385471488,J173453.83+075628.50,-0.79,1.5173051357269287,,11.36,4.43,75.06,3.69,-0.79,790.84,48.85,585.43,,pHVS
2,J173604.78+324805.39,2546803259025156096,J173604.78+324805.39,-0.6,4.762840270996094,,35.1,6.13,20.61,4.82,-0.6,638.81,88.95,576.17,X,pHVS
2,J173620.31+322415.89,2546790889519343616,J173620.31+322415.89,-0.23,4.65477180480957,,24.51,9.17,21.95,4.52,-0.23,637.35,83.09,576.9,X,pHVS
2,J173712.93+321518.17,2546789515129808896,J173712.93+321518.17,-0.33,4.937323570251465,,21.38,6.56,22.33,4.62,-0.33,680.87,89.71,576.25,X,pHVS
2,J182630.57+215302.70,2862143182060152832,J182630.57+215302.70,-0.54,4.224299430847168,,15.94,4.68,20.61,4.11,-0.54,712.94,82.58,590.25,,pHVS
